City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Kosh-Agach,RU,2023-01-29 16:16:59,50.0,88.6667,-5.87,77,99,4.74,overcast clouds
60,Albany,US,2023-01-29 16:12:14,42.6001,-73.9662,43.74,72,100,7.34,overcast clouds
61,Skibbereen,IE,2023-01-29 16:16:59,51.55,-9.2667,53.11,88,100,14.25,overcast clouds
62,Polovinnoye,RU,2023-01-29 16:17:00,54.7914,65.9864,3.18,95,10,8.75,clear sky
63,Kazachinskoye,RU,2023-01-29 16:17:00,57.6953,93.2761,13.37,90,100,9.01,overcast clouds
64,Puerto Ayora,EC,2023-01-29 16:12:41,-0.7393,-90.3518,82.36,91,87,5.01,light rain
65,Fare,PF,2023-01-29 16:17:00,-16.7,-151.0167,80.4,75,6,12.15,clear sky
66,Ilulissat,GL,2023-01-29 16:08:04,69.2167,-51.1,10.42,61,39,24.16,scattered clouds
67,Salalah,OM,2023-01-29 16:08:27,17.0151,54.0924,73.49,20,0,11.5,clear sky
68,Maragogi,BR,2023-01-29 16:17:01,-9.0122,-35.2225,84.6,60,41,11.32,scattered clouds
69,Port Elizabeth,ZA,2023-01-29 16:17:02,-33.918,25.5701,69.1,60,40,13.8,scattered clouds
70,Caravelas,BR,2023-01-29 16:13:57,-17.7125,-39.2481,84.49,57,94,9.84,overcast clouds
71,Ndola,ZM,2023-01-29 16:17:04,-12.9587,28.6366,66.65,96,100,4.5,light rain
72,Inirida,CO,2023-01-29 16:17:05,3.8653,-67.9239,90.61,43,42,2.8,scattered clouds
73,Biak,ID,2023-01-29 16:09:45,-0.9131,122.8766,76.01,84,94,2.35,overcast clouds
74,Aklavik,CA,2023-01-29 16:13:57,68.2191,-135.0107,-6.23,93,77,1.9,broken clouds
75,East London,ZA,2023-01-29 16:08:01,-33.0153,27.9116,67.44,59,100,7.11,overcast clouds
76,Kaitangata,NZ,2023-01-29 16:17:06,-46.2817,169.8464,52.86,75,41,5.44,scattered clouds
77,Souillac,MU,2023-01-29 16:17:07,-20.5167,57.5167,79.18,89,75,3.44,broken clouds
78,Hermanus,ZA,2023-01-29 16:13:56,-34.4187,19.2345,71.8,55,100,24.99,overcast clouds
79,Kautokeino,NO,2023-01-29 16:17:08,69.0125,23.0412,7.97,93,96,1.59,overcast clouds
80,New Norfolk,AU,2023-01-29 16:12:48,-42.7826,147.0587,60.3,66,62,0.45,broken clouds
81,Sistranda,NO,2023-01-29 16:17:09,63.7256,8.834,40.96,94,100,23.02,light rain
82,Coihaique,CL,2023-01-29 16:17:10,-45.5752,-72.0662,75.15,50,40,8.05,scattered clouds
83,Qaqortoq,GL,2023-01-29 16:17:11,60.7167,-46.0333,16.09,67,100,9.6,overcast clouds
84,Saryozek,KZ,2023-01-29 16:17:13,44.3583,77.9753,11.21,75,58,3.85,broken clouds
85,Dondo,MZ,2023-01-29 16:17:14,-19.6094,34.7431,85.51,60,35,10.65,scattered clouds
86,Castro,BR,2023-01-29 16:17:15,-24.7911,-50.0119,82.06,51,13,7.2,few clouds
87,Upernavik,GL,2023-01-29 16:14:00,72.7868,-56.1549,-5.08,92,98,8.75,overcast clouds
88,Geraldton,AU,2023-01-29 16:13:52,-28.7667,114.6,82.81,51,78,10.36,broken clouds
